CUSTOMER_ID,First_Name,Last_Name,City,Phone_Number,Occupation,DOB
C00001,Timothy,Nelson,Davidville,1592081539,Magician,1915-09-03
C00002,Courtney,Farley,Port Charlesberg,9356145501,Scientist,1922-05-11
C00003,Sheena,Solis,New John,4311466522,Businessman,1933-10-27
C00004,Amy,Martinez,Joneston,6112876134,Mechanic,1981-07-29
C00005,Emily,Olson,South Christine,8756770692,Repairman,1999-03-01
C00006,Benjamin,Johnson,West Evanmouth,1402377116,Businessman,1942-04-21
C00007,Craig,Elliott,Sanchezshire,6202263306,Construction worker,1963-04-27
C00008,Rebecca,Keller,South Christian,1063299332,Carpenter,1961-12-15
C00009,Brianna,Holt,Caseytown,9923202932,Priest,1951-12-23
C00010,Jeremy,Le,Lake Justinmouth,5032107777,Paramedic,1961-12-31
C00011,Shannon,Rose,Youngview,5611248497,Professor,1923-04-16
C00012,Matthew,Guerrero,West Kristen,0142570667,Train conductor,1976-09-12
C00013,Michael,Clark,East Maxwell,0582686100,Architect,1960-11-07
C00014,Bobby,Jones,Manningfort,6257977143,Construction worker,1926-08-02
C00015,Wayne,Daugherty,North Morgan,1742353832,Police officer,1961-07-01
C00016,Sharon,Gutierrez,South Joanneland,3990712774,Repairman,1994-05-10
C00017,Jennifer,Vasquez,South Erin,5394311250,Painter,1983-06-02
C00018,Howard,Lopez,East Renee,7738800649,Photographer,1939-04-01
C00019,David,Olsen,Fordport,9096111363,Housewife,1943-12-29
C00020,Colin,Andrews,Nguyenborough,0513207155,Paramedic,1935-07-19
C00021,Michael,Barnett,Davisport,2663819972,Pilot,1985-04-14
C00022,Bonnie,Reynolds,Espinozahaven,3118043227,Soldier,2003-06-25
C00023,Holly,Moon,Kevinview,8972492544,Geisha,1964-12-14
C00024,Bobby,Woods,Austinville,7328375552,Cameraman,1996-06-23
C00025,Terri,Rogers,West Susan,0993141816,Professor,1941-10-22
C00026,Ian,Smith,North Michael,2338754333,Soldier,1930-05-05
C00027,Sharon,Hart,South Jacquelineburgh,3187905398,Housewife,1973-02-21
C00028,Cynthia,Hobbs,Theodoreville,8022006537,Doorman,1944-04-10
C00029,Laurie,Bonilla,Whitneychester,3168277850,Diver,1921-10-11
C00030,Ryan,Caldwell,New David,9361303269,Journalist,1995-07-17
C00031,Robert,Reed,North Kelly,9938164073,Boxer,1998-07-01
C00032,Brandon,Austin,Gregoryhaven,7090917820,Geisha,1957-08-09
C00033,Allison,Knight,Travisborough,5118215456,Professor,1970-06-02
C00034,Gwendolyn,Martin,Morrisonmouth,6420667673,Geisha,1978-03-01
C00035,Carol,Wolf,Mclaughlinview,0596484418,Builder,1978-01-09
C00036,Lisa,Spencer,Debraberg,3813174398,Reporter,1919-04-19
C00037,Tammy,Estrada,Abigailfort,7701386275,Journalist,1939-03-14
C00038,Jessica,Martinez,West Anthony,1939995251,Surgeon,1982-11-07
C00039,Katherine,Melendez,Port David,5118847617,Priest,1948-09-02
C00040,Jason,Webster,Lake Regina,1622923559,Mechanic,1992-12-18
C00041,Beth,Miller,New Laura,8183956428,Geisha,2002-08-21
C00042,Michael,Morgan,East Johntown,6727744668,Engineer,2003-06-19
C00043,Justin,Anderson,South Johnathanstad,8609339016,Scientist,1975-03-04
C00044,Nicole,Wood,West Amyfort,2060061072,Singer,1930-12-24
